wpi,port,country,size,type,tidal_range,entrance_width,channel_depth,latitude,longitude
34690,Liverpool,United Kingdom,Large,River (Tide Gates),6.0,0.0,6.4,53.416666999999997,-3.000000000000000
34880,Milford Haven,United Kingdom,Medium,River (Natural),4.0,0.0,9.4,51.716667000000001,-5.033333000000000
34970,Neath,United Kingdom,Very Small,Coastal (Natural),6.0,0.0,3.4,51.633333000000000,-3.833333000000000
35240,Newlyn,United Kingdom,Very Small,Coastal (Breakwater),5.0,0.0,14.0,50.100000000000001,-5.550000000000000
35330,Par,United Kingdom,Very Small,Coastal (Breakwater),4.0,0.0,0.0,50.350000000000001,-4.700000000000000
35590,Fawley Marine Terminal,United Kingdom,Small,River (Natural),5.0,0.0,12.5,50.816667000000002,-1.333333000000000
35732,Dunkerque Port Ouest,France,Medium,Coastal (Tide Gates),6.0,0.0,20.1,51.066667000000002,2.350000000000000
35750,Calais,France,Small,Coastal (Breakwater),6.0,0.0,7.9,50.966667000000001,1.850000000000000
35760,Boulogne-Sur-Mer,France,Medium,River (Tide Gates),8.0,0.0,4.9,50.733333000000002,1.600000000000000
35830,Fecamp,France,Small,Canal or Lake,6.0,0.0,0.0,49.766666999999998,0.366667000000000
35835,Port Du Havre-Antifer,France,Small,Coastal (Breakwater),7.0,0.0,23.2,49.649999999999999,0.150000000000000
35840,Port Of Le Havre,France,Large,River (Tide Gates),7.0,0.0,14.0,49.483333000000002,0.116667000000000
35850,Port Of Rouen,France,Large,River (Natural),3.0,0.0,9.4,49.450000000000003,1.066667000000000
35860,Honfleur,France,Very Small,River (Tide Gates),7.0,0.0,3.4,49.416666999999997,0.216667000000000
36130,Saint-Malo,France,Small,Coastal (Tide Gates),13.0,0.0,3.4,48.649999999999999,-2.016667000000000
36220,Le Legue,France,Very Small,River (Tide Gates),10.0,0.0,0.0,48.533332999999999,-2.750000000000000
36370,Port De Roscoff-Bloscon,France,Very Small,Coastal (Breakwater),9.0,0.0,4.9,48.733333000000002,-3.983333000000000
36460,Rade De Brest,France,Large,Coastal (Breakwater),7.0,305.0,12.5,48.383333000000000,-4.500000000000000
36620,Concarneau,France,Very Small,Coastal (Breakwater),3.0,0.0,4.9,47.866667000000000,-3.916667000000000
36680,Lorient,France,Medium,River (Natural),4.0,0.0,7.9,47.750000000000000,-3.350000000000000
36850,St Nazaire,France,Medium,River (Tide Gates),4.0,0.0,12.5,47.283332999999999,-2.200000000000000
36855,Montoir,France,Medium,River (Natural),0.0,0.0,12.5,47.299999999999997,-2.133333000000000
36860,Donges,France,Small,River (Natural),5.0,0.0,14.0,47.299999999999997,-2.066667000000000
36900,Nantes,France,Medium,River (Natural),4.0,0.0,7.9,47.200000000000003,-1.566667000000000
36960,Les Sables D' Olonne,France,Medium,River (Basins),11.0,0.0,6.4,46.500000000000000,-1.800000000000000
37000,La Pallice,France,Medium,Coastal (Tide Gates),3.0,0.0,11.0,46.166666999999997,-1.216667000000000
